nama_sekolah,status_sekolah,kapasitas_pagu_siswa,jml_rombel,peringkat_akreditasi,jml_rpp_mapel,jml_r_kelas,jml_r_perpus,jml_lab_ipa,jml_r_pimpinan,jml_r_guru,jml_t_ibadah,jml_r_uks,jml_jamban,jml_gudang,jml_r_sirkulasi,jml_t_olahraga,jml_r_kelas_baik,jml_r_perpus_baik,jml_lab_ipa_baik,jml_r_pimpinan_baik,jml_r_guru_baik,jml_t_ibadah_baik,jml_r_uks_baik,jml_jamban_baik,jml_gudang_baik,jml_r_sirkulasi_baik,jml_t_olahraga_baik,is_bopda
SMP GREAT CRYSTAL,1,31,3,A,495,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SMP HANG TUAH 1 SURABAYA,1,622,20,A,3300,1,1,1,1,1,1,1,4,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1
SMP HANG TUAH 2 SURABAYA,1,225,7,A,1155,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP HANG TUAH 4 SURABAYA,1,453,12,A,1980,13,1,1,1,2,2,1,6,0,0,1,13,1,1,1,2,2,1,6,0,0,1,1
SMP HIDAYATUL UMMAH SURABAYA,1,307,10,A,1650,10,1,1,1,1,1,1,3,0,0,0,10,1,1,1,1,1,1,3,0,0,0,1
SMP IHYAUSSALAFIYAH SURABAYA,1,65,3,B,495,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1
SMP INSTITUT INDONESIA SURABAYA,1,109,4,B,660,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
SMP IPIEMS SURABAYA,1,622,19,A,3135,21,1,1,1,1,1,1,4,1,0,1,21,1,1,1,1,1,1,4,1,0,1,1
SMP ISKANDAR SAID SURABAYA,1,145,6,A,990,5,1,1,1,1,1,1,2,0,0,0,5,1,1,1,1,1,1,2,0,0,0,1
SMP ISLAM AL AMAL SURABAYA,1,300,9,B,1485,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP ISLAM AL AZHAR 13 SURABAYA,1,232,11,A,1815,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0
SMP ISLAM AL AZHAR KELAPA GADING SURABAYA,1,138,6,A,990,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SMP ISLAM AL MIZAN,1,145,6,B,990,7,1,1,1,1,1,1,8,0,0,1,7,0,0,1,1,1,1,8,0,0,1,0
SMP ISLAM BAITUL AMIEN SURABAYA,1,66,3,B,495,2,1,1,1,3,1,1,4,0,0,1,2,1,1,1,3,1,1,4,0,0,1,1
SMP ISLAM DARUSSALAM SURABAYA,1,200,6,A,990,6,1,1,1,2,1,1,6,0,0,0,6,1,1,1,2,1,1,6,0,0,0,1
SMP ISLAM JIWA NALA SURABAYA,1,6,0,A,0,3,1,1,1,1,1,1,4,0,0,1,3,1,1,1,1,1,1,4,0,0,1,0
SMP ISLAM LIL WATHON SURABAYA,1,163,7,B,1155,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP ISLAM RADEN PAKU SURABAYA,1,170,7,A,1155,5,1,1,1,1,1,1,4,0,0,0,5,1,1,1,1,1,1,4,0,0,0,1
SMP ISLAM SURABAYA,1,33,3,B,495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP ISLAM TERPADU AT-TAQWA,1,237,12,A,1980,2,1,1,1,1,1,1,2,0,0,0,2,1,1,1,1,1,1,2,0,0,0,0
SMP IT UTSMAN BIN AFFAN,1,108,6,B,990,1,1,1,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,4,0,0,1,1
SMP IVY SCHOOL,1,53,3,B,495,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
SMP JALAN JAWA,1,205,7,A,1155,1,1,1,1,1,0,1,2,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
SMP JALINAN ADISISWA CEMERLANG,1,221,8,A,1320,8,1,1,1,1,1,1,2,1,1,0,8,1,1,1,1,1,1,2,1,1,0,0
SMP K SANTO STANISLAUS II SURABAYA,1,220,9,A,1485,9,1,1,1,1,1,1,2,0,0,0,9,1,1,1,1,1,1,2,0,0,0,0
SMP KARTIKA IV-1 SURABAYA,1,426,14,A,2310,4,1,1,1,1,2,1,2,0,0,0,4,1,1,1,1,2,1,2,0,0,0,1
SMP KARTIKA IV-11 SURABAYA,1,376,12,A,1980,12,1,1,1,1,1,1,2,0,0,0,12,1,1,1,1,1,1,2,0,0,0,1
SMP KARTIKA NASIONAL PLUS,1,111,5,B,825,6,1,1,0,1,1,1,9,0,0,1,5,0,1,0,0,0,0,6,0,0,1,0
SMP KARTINI SURABAYA,1,176,6,B,990,6,1,0,1,1,0,1,0,0,0,1,6,0,0,1,0,0,1,0,0,0,1,1
SMP KATOLIK  KARITAS III SURABAYA,1,341,11,A,1815,11,1,0,1,1,0,1,2,0,0,0,11,1,0,1,1,0,1,2,0,0,0,0
SMP KATOLIK ANGELUS CUSTOS II,1,202,9,A,1485,9,1,1,1,1,1,1,3,0,0,0,5,0,0,1,1,1,1,3,0,0,0,1
SMP KATOLIK INDRIASANA IV SURABAYA,1,43,4,B,660,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
SMP KATOLIK INDRIYASANA VII,1,126,6,A,990,3,1,1,1,1,1,1,3,1,0,0,3,1,1,1,1,1,1,3,1,0,0,1
SMP KATOLIK KARITAS II SURABAYA,1,214,7,A,1155,6,1,1,1,0,1,1,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
SMP KATOLIK PENCINTA DAMAI SURABAYA,1,92,3,A,495,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP KATOLIK SANTA AGNES SURABAYA,1,523,18,A,2970,18,1,1,1,1,1,1,4,0,0,1,18,1,1,1,1,1,1,4,0,0,1,0
SMP KATOLIK SANTA CLARA SURABAYA,1,417,15,A,2475,15,1,1,1,1,1,1,2,0,0,0,15,1,1,1,1,1,1,2,0,0,0,0
SMP KATOLIK SANTO MIKAEL SURABAYA,1,121,3,A,495,3,1,1,1,1,1,1,2,0,1,0,3,1,1,1,1,1,1,2,0,1,0,1
SMP KATOLIK SANTO STANISLAUS SURABAYA,1,139,6,A,990,6,1,1,1,1,0,1,9,0,0,0,6,0,0,1,1,0,1,8,0,0,0,0
SMP KATOLIK ST. VINCENTIUS SURABAYA,1,295,11,A,1815,12,1,1,1,1,1,1,2,0,0,1,12,1,1,1,1,1,1,2,0,0,1,1
SMP KATOLIK STELLA MARIS SURABAYA,1,310,12,A,1980,14,1,1,1,1,1,1,6,0,1,0,14,1,1,1,1,1,1,6,0,1,0,1
SMP KAWUNG 1 SURABAYA,1,105,4,A,660,6,1,1,1,1,1,1,3,0,0,0,6,1,1,1,1,1,1,3,0,0,0,1
SMP KAWUNG 2 SURABAYA,1,214,7,A,1155,1,2,1,1,1,1,1,3,0,0,0,1,2,1,1,1,1,1,3,0,0,0,1
SMP KEMALA BHAYANGKARI 1 SURABAYA,1,395,13,A,2145,1,0,0,1,1,1,0,4,0,0,1,1,0,0,1,1,1,0,4,0,0,1,1
SMP KEMALA BHAYANGKARI 6 SURABAYA,1,119,6,B,990,5,2,1,1,1,1,1,3,1,0,0,5,2,0,1,1,1,0,1,1,0,0,1
SMP KEMALA BHAYANGKARI 8 SURABAYA,1,176,7,B,1155,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,1,1,3,1,0,1,1
SMP KHM NUR SURABAYA,1,133,7,B,1155,6,1,0,1,1,1,1,4,0,0,0,6,1,0,1,1,1,1,1,0,0,0,1
SMP KRISTEN ANAK BANGSA,1,51,3,B,495,3,1,1,1,1,1,1,0,1,0,0,3,1,1,1,1,1,1,0,1,0,0,0
SMP KRISTEN BETHEL SULUNG 3 SURABAYA,1,41,3,A,495,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,1
SMP KRISTEN BETHEL SURABAYA,1,79,3,B,495,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,1
SMP KRISTEN CITA HATI - WEST CAMPUS,1,271,12,A,1980,11,1,1,1,1,1,1,4,0,0,0,11,1,1,1,1,1,1,4,0,0,0,0
SMP KRISTEN ELIA,1,27,3,B,495,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0
SMP KRISTEN GLORIA 1 SURABAYA,1,288,10,A,1650,1,1,2,1,1,2,2,20,1,0,0,0,1,2,0,1,2,1,18,0,0,0,0
SMP KRISTEN GLORIA 2,1,576,19,A,3135,8,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP Kristen Intan Permata Hati,1,59,3,A,495,6,1,0,1,1,0,1,4,1,0,1,6,1,0,1,1,0,1,4,1,0,1,0
SMP KRISTEN INTAN PERMATA HATI,1,227,9,A,1485,8,1,1,1,1,1,1,4,0,0,0,8,1,1,1,1,1,1,4,0,0,0,0
SMP KRISTEN KALAM KUDUS,1,87,5,B,825,6,1,0,0,1,0,1,4,0,0,0,6,1,0,0,1,0,1,4,0,0,0,0
SMP Kristen Masa Depan Cerah,1,134,6,A,990,8,1,1,1,1,1,1,3,0,0,1,8,1,1,1,1,1,1,3,0,0,1,0
SMP KRISTEN PETRA 1,1,748,25,A,4125,29,1,1,1,1,1,2,12,0,0,0,29,1,1,1,1,1,2,12,0,0,0,0
SMP KRISTEN PETRA 2 SURABAYA,1,261,9,A,1485,11,1,1,1,1,1,1,4,1,0,0,11,1,1,0,0,1,0,0,0,0,0,0
SMP KRISTEN PETRA 3 SURABAYA,1,719,24,A,3960,25,1,3,1,1,1,1,2,0,0,0,25,1,2,0,0,0,0,0,0,0,0,0
SMP KRISTEN PETRA 5 SURABAYA,1,424,14,A,2310,19,1,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0
SMP KRISTEN PIRNGADI SURABAYA,1,42,3,A,495,3,1,1,1,1,1,1,4,1,0,1,3,1,1,1,1,1,1,4,1,0,1,1
SMP KRISTEN YBPK 1 SURABAYA,1,144,6,A,990,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,4,1,0,1,1
SMP KRISTEN YBPK 4 SURABAYA,1,109,5,A,825,1,1,1,1,1,1,1,3,0,0,0,1,1,1,1,1,1,1,3,0,0,0,1
SMP KYAI HASYIM SURABAYA,1,200,6,A,990,6,1,1,1,1,1,1,4,1,0,1,6,1,1,1,1,1,1,4,1,0,1,1
SMP LABSCHOOL UNESA 1,1,267,9,A,1485,10,1,1,1,1,1,1,2,0,0,0,10,1,1,1,1,1,1,2,0,0,0,1
SMP LABSCHOOL UNESA 2,1,133,6,A,990,6,1,1,1,1,1,2,2,0,0,0,5,1,0,0,0,1,2,2,0,0,0,1
SMP LABSCHOOL UNESA 3,1,188,8,A,1320,10,0,1,1,1,1,1,2,0,0,0,10,0,1,1,1,1,1,2,0,0,0,1
SMP LITTLE SUN SCHOOL,1,209,9,A,1485,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,0
SMP LUQMAN AL HAKIM SURABAYA,1,329,12,A,1980,15,2,1,1,2,1,2,2,0,0,0,15,2,1,1,2,1,2,2,0,0,0,1
SMP MA`ARIF 19 SURABAYA,1,11,3,B,495,3,1,1,1,1,1,1,4,0,1,2,3,1,1,1,1,1,1,4,0,1,2,1
SMP MA`ARIF NU HASANUDIN SURABAYA,1,75,3,B,495,3,1,1,1,1,1,1,2,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1
SMP MABADIE KHOIRI UMMAH (MKU) SURABAYA,1,39,3,B,495,3,1,0,1,1,0,1,2,0,0,0,3,1,0,1,1,0,1,2,0,0,0,1
SMP MANDALA SURABAYA,1,95,6,A,990,1,1,1,1,1,1,1,4,1,0,0,1,1,1,1,1,1,1,4,1,0,0,1
SMP MANGUNI SURABAYA,1,55,3,B,495,1,1,0,0,1,0,1,4,0,0,0,1,1,0,0,1,0,1,4,0,0,0,1
SMP MARDI PUTERA SURABAYA,1,209,9,B,1485,9,1,1,1,1,0,1,3,0,0,0,9,1,1,1,1,0,1,3,0,0,0,1
SMP MARDI SIWI SURABAYA,1,42,3,B,495,3,1,1,1,1,0,1,3,0,0,0,3,0,1,1,1,0,1,3,0,0,0,1
SMP MARDI SUNU SURABAYA,1,195,7,A,1155,1,1,1,1,1,1,1,3,0,0,1,1,1,1,1,1,1,1,3,0,0,1,1
SMP MARGIE SURABAYA,1,22,3,B,495,4,1,1,1,1,2,1,2,0,0,0,4,1,1,0,1,2,1,2,0,0,0,0
SMP MARYAM SURABAYA,1,316,12,A,1980,12,1,1,1,1,0,1,4,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1
SMP MAWAR SHARON CHRISTIAN SCHOOL,1,231,12,A,1980,6,1,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP METTA SCHOOL,1,43,3,A,495,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,0
SMP MIFTAHUL ULUM SURABAYA,1,97,6,A,990,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP MIMI SURABAYA,1,64,4,A,660,4,1,1,1,0,1,1,2,0,0,0,4,1,1,1,0,1,1,2,0,0,0,0
SMP MUHAMMADIYAH 1 SURABAYA,1,388,13,A,2145,1,1,1,1,0,1,1,2,0,0,0,1,1,1,1,0,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 10 SURABAYA,1,225,9,A,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP MUHAMMADIYAH 11 SURABAYA,1,382,14,A,2310,15,1,1,1,1,1,0,2,0,1,0,15,1,1,1,1,1,0,2,0,1,0,1
SMP MUHAMMADIYAH 13 SURABAYA,1,449,18,A,2970,15,1,1,1,1,1,1,7,0,0,0,15,1,1,1,1,1,1,7,0,0,0,1
SMP MUHAMMADIYAH 14 SURABAYA,1,337,10,A,1650,11,1,1,1,1,1,0,3,0,0,0,11,1,1,1,1,1,0,3,0,0,0,1
SMP MUHAMMADIYAH 15 SURABAYA,1,601,20,A,3300,18,1,1,1,3,1,1,4,2,0,1,18,1,1,1,3,1,1,4,2,0,1,1
SMP MUHAMMADIYAH 16 SURABAYA,1,140,6,B,990,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 17 SURABAYA,1,127,7,A,1155,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,0,1,1
SMP MUHAMMADIYAH 18,1,124,6,B,990,3,1,1,1,0,1,0,2,0,0,0,3,1,1,0,0,0,0,2,0,0,0,1
SMP MUHAMMADIYAH 2 SURABAYA,1,574,19,A,3135,21,1,1,1,1,1,1,2,0,0,0,21,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 3 SURABAYA,1,126,7,B,1155,3,1,1,1,1,1,1,4,0,0,0,3,1,1,1,1,1,1,4,0,0,0,1
SMP MUHAMMADIYAH 4,1,270,10,A,1650,2,1,1,1,1,1,1,2,1,0,0,2,1,0,1,1,1,1,2,1,0,0,1
SMP MUHAMMADIYAH 5 SURABAYA,1,605,22,A,3630,2,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMP MUHAMMADIYAH 6 SURABAYA,1,152,6,A,990,8,1,1,1,1,1,1,2,0,0,0,8,1,1,1,1,1,1,2,0,0,0,1
SMP MUHAMMADIYAH 7 SURABAYA,1,213,9,A,1485,8,1,1,1,1,1,1,4,0,0,0,8,1,1,1,1,1,0,4,0,0,0,1
SMP MUHAMMADIYAH 9 SURABAYA,1,250,10,A,1650,9,1,0,1,1,0,1,6,0,0,0,8,0,0,1,1,0,0,2,0,0,0,1
SMP NASIONAL SURABAYA,1,76,3,B,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SMP NATION STAR ACADEMY,1,269,12,A,1980,12,1,0,1,1,1,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
SMP NEGERI 1 SURABAYA,0,1057,31,A,5115,44,2,2,2,4,1,1,6,2,0,2,40,2,1,2,3,1,1,6,0,0,0,0
SMP NEGERI 10 SURABAYA,0,990,29,A,4785,64,2,0,2,2,2,2,7,3,0,0,52,1,0,2,1,2,1,6,0,0,0,0
SMP NEGERI 11 SURABAYA,0,919,30,A,4950,47,2,2,2,2,2,2,8,2,0,2,12,1,0,0,0,2,0,0,0,0,0,0
SMP NEGERI 12 SURABAYA,0,1044,30,A,4950,65,2,0,2,2,5,2,0,4,0,6,39,0,0,1,1,3,1,0,0,0,0,0
SMP NEGERI 13 SURABAYA,0,960,31,A,5115,61,2,1,2,2,2,2,53,2,8,2,38,1,0,0,1,0,0,20,0,2,0,0
SMP NEGERI 14 SURABAYA,0,980,30,A,4950,60,2,2,2,2,2,2,18,4,4,2,3,2,0,1,0,0,0,0,2,0,1,0
SMP NEGERI 15 SURABAYA,0,1015,31,A,5115,60,2,2,2,2,2,2,17,3,0,0,40,1,0,1,0,1,0,8,0,0,0,0
SMP NEGERI 16 SURABAYA,0,1014,33,A,5445,66,2,2,2,2,2,2,9,2,0,2,11,0,0,0,0,0,0,6,0,0,0,0
SMP NEGERI 17 SURABAYA,0,909,32,A,5280,61,3,5,4,2,2,2,5,0,0,2,14,0,2,3,1,0,0,2,0,0,1,0
SMP NEGERI 18 SURABAYA,0,773,25,A,4125,55,2,2,3,2,3,2,31,3,2,1,40,0,1,1,0,1,0,29,0,1,0,0
SMP NEGERI 19 SURABAYA,0,1231,31,A,5115,68,2,2,2,2,2,2,40,7,0,2,48,0,1,2,0,1,1,37,3,0,2,0
SMP NEGERI 2 SURABAYA,0,951,30,A,4950,62,2,2,2,2,2,2,4,2,0,2,30,0,0,0,0,0,0,4,0,0,0,0
SMP NEGERI 20 SURABAYA,0,1044,32,A,5280,33,1,1,2,2,2,1,20,2,0,2,22,0,0,1,0,1,0,14,0,0,0,0
SMP NEGERI 21 SURABAYA,0,977,30,A,4950,67,2,2,2,2,2,2,4,2,0,0,48,1,1,2,1,2,2,4,1,0,0,0
SMP NEGERI 22 SURABAYA,0,1016,31,A,5115,69,2,2,2,2,1,2,15,2,0,2,28,1,2,2,1,0,1,13,0,0,1,0
SMP NEGERI 23 SURABAYA,0,892,27,A,4455,39,1,0,2,2,2,2,2,12,2,4,23,1,0,1,0,0,0,0,1,0,0,0
SMP NEGERI 24 SURABAYA,0,819,27,A,4455,54,2,2,2,2,2,2,6,16,4,2,2,1,1,0,0,0,0,0,3,0,0,0
SMP NEGERI 25 SURABAYA,0,1083,32,A,5280,68,2,1,2,2,2,2,11,2,0,0,44,0,0,0,0,0,0,11,0,0,0,0
SMP NEGERI 26 SURABAYA,0,1005,30,A,4950,50,4,4,2,2,2,2,17,4,0,2,0,0,0,0,0,0,0,16,0,0,0,0
